Fisiografia;deltaC13;deltaN15
NORMAL;-21.15;15.82
NORMAL;-22.31;15.4
NORMAL;-22.31;15.4
NORMAL;-18.83;14.43
NORMAL;-23.73;14.11
NORMAL;-22.1;7.65
PINUS;-25.36;6.14
PINUS;-21.93;6.76
PINUS;-25.75;7.35
NORMAL;-19.1;8.27
NORMAL;-21.76;7.2
NORMAL;-20.52;8.21
NORMAL;-18.01;8.71
NORMAL;-20.86;6.27
NORMAL;-17.59;10.72
NORMAL;-14.79;5.19
NORMAL;-15.42;5.38
NORMAL;-14.61;4.89
NORMAL;-17.71;5.02
NORMAL;-15.91;5.15
NORMAL;-14.21;5
PINUS;-21.16;7.06
PINUS;-19.47;8.46
PINUS;-20.19;7.14
PINUS;-22;8.34
PINUS;-24.47;8.39
PINUS;-26.25;8.62
PINUS;-19.51;4.48
PINUS;-15.85;8.24
PINUS;-16.25;8.16
PINUS;-18.2;6.75
PINUS;-18.56;6.07
PINUS;-21.26;6.21
NORMAL;-14.56;6.57
NORMAL;-13.97;6.2
NORMAL;-14.13;9.71
NORMAL;-14.04;8.2
NORMAL;-13.79;8.74
NORMAL;-13.85;8.79
PINUS;-16.77;9.15
PINUS;-20.05;8
PINUS;-22.04;5.97
PINUS;-21.06;7.91
PINUS;-22.87;8.6
PINUS;-25.23;7.57
ARENOSO;-15.16;5.84
ARENOSO;-14.69;6.04
ARENOSO;-16.06;6.52
ARENOSO;-14.8;6.42
ARENOSO;-11;2.9
ARENOSO;-15.79;8.21
ARENOSO;-13.16;6.96
ARENOSO;-12.52;7.15
ARENOSO;-13.44;8.14
ARENOSO;-15.75;8.83
ARENOSO;-16.43;8.78
ARENOSO;-15.62;8.02
URBANO;-20.03;15.43
URBANO;-22.73;16.33
URBANO;-18.02;7.77
URBANO;-21.25;11.39
URBANO;-22.31;15.02
URBANO;-23.11;12.96
URBANO;-20.64;11.14
URBANO;-26.1;16.59
URBANO;-26.23;16.95
URBANO;-27.53;16.67
URBANO;-17.47;9.38
URBANO;-23.12;14.04
URBANO;-19.94;10.31
URBANO;-19.94;10.31
URBANO;-19.94;10.31
URBANO;-19.94;10.31
URBANO;-19.94;10.31
NORMAL;-17.63;8.29
NORMAL;-11.03;11.98
NORMAL;-13.36;10.72
NORMAL;-11.98;9.7
NORMAL;-11.82;10.3
NORMAL;-11.54;10.46
NORMAL;-20.81;9.04
NORMAL;-25.64;10.01
NORMAL;-22.26;9.77
URBANO;-24.18;14.29
URBANO;-23.8;14.4
URBANO;-25.31;13.93
URBANO;-18.06;11.37
URBANO;-18.06;11.37
URBANO;-18.44;9.7
URBANO;-18.44;9.7
URBANO;-18.54;9.2
ARENOSO;-24.44;11.92
ARENOSO;-25.73;13.64
ARENOSO;-26.91;10.74
ARENOSO;-16.58;12.25
ARENOSO;-16.71;12.74
ARENOSO;-16.84;7.66
ARENOSO;-25.29;9.73
ARENOSO;-18.8;9.93
NORMAL;-23.44;11.25
NORMAL;-20.09;8.32
NORMAL;-15.93;10.37
NORMAL;-21.83;14.01
NORMAL;-23.71;14.92
NORMAL;-25.74;14.38
NORMAL;-17.82;9.81
NORMAL;-20.56;11.24
NORMAL;-21.08;9.02
NORMAL;-23.63;5.72
NORMAL;-22.24;8.41
NORMAL;-17.82;7.52
